w,m
conformity,符合-一致性
consistency,连贯-前后一致
zigzag,锯齿形的
dispute,辩论-争论
municipal,市政的
credit,学分
scratch,擦痛-擦伤
desert,沙漠-荒地
bulldozer,推土机
embed,深留-嵌入
vibrate,震动
tilt,倾斜-歪斜
eliminate,清除-消除
perspective,角度-洞察力
federal,联邦的
depression,萧条时期
institution,组织-机构
endowment,捐赠
council,委员会-政务会
altruistic,利他的-无私心的
substantial,大量的-充分的
plaque,牌匾
culture shock ,文化冲突
campus,校园
academic,学科的-学术的
lecture hall,讲堂
introductory course,入门级课程
material,材料
impersonal,没人情味的
continue,继续
distinguish,区分
office hour,办公时间
feedback,反馈
postive,积极的
common,平常的-普通的
orchestra,管弦乐队
graduate,毕业生+毕业
replacement,替代
audition,试镜-试演
pursue,追求
assignment ,作业-任务
suppose,应该
course,课程
concentrate,集中
form,形式
content,内容
discuss,讨论
approach,方法+接近
unique,独特的
block,封锁
sign up,选课
prerequisite,前提条件
permission,允许
drop back,退课
in-depth,有深度的
previous,先前的
extra reading,额外阅读材料
connection,连接
recommend,推荐
alligator,鳄鱼
escape,逃脱-逃跑
reproduce,繁殖
definition,定义
observe,观察
transmission,转换
analogy,类比
replicate,复制
copy,复制
characteristic,特点
longevity,长度
fecundity,多产
fidelity,真实性
transfer,转换
pass on,传递
exist,存在
accuracy,准确性
principle,原则
original ,原本的
genetic,基因的
mutation,变异
spread,散播-散发
cover,覆盖
argument,观点
compelling,有说服力的
Moon,月球
enormous,巨大的
impact,影响
crater,火山口
locate,定位
basin,盆地
spacecraft,飞船
lunar,月球的
orbit,轨道
equator,赤道
topographical,地形学的
correspond to,相呼应
elevation,海拔
measure,测量
diameter,半径
average,平均
solar system,太阳系
crust,地壳
mantle,地幔
expose,暴露于
convince,说服
contain,包含
penetrate,渗入
composition,组成
formation,形成
data,数据
precise,精确的
planetary,行星的
meteor,流星
estimate,评估
investigate,调查
hydrogen,氢气
underground,地下的
crash into,碰撞
comet,彗星
molecule,分子
pole,极地
frozen,冰冻的+冰冻
evaporation,蒸发
primitive,原始的
melt,融化
purify,净化
component,组成成分
oxygen,氧气
fuel,燃料
exploration,探索
equipment ,装备
permanent,永久的
spectroscopy,光谱学
basic,基础的
definition,定义
interaction,互动
consist of,组成
wavelength,波长
spectrum,光谱
substance,物质
absorb,吸收
element,元素
precisely,精确地
application,应用-申请
discipline,学科
devise,设计-策划
original ,原始的
determine,决定
authentic,权威的
canvas,帆布
brushstroke,笔刷
apply,应用
pigment,颜料
ingredient,成分
composition,成分
detective,可探测的
infrared ,红外线的
microscope,显微镜
compare,对比
method,方法方式
analyse,分析
restoration,重建-重修
damage,损坏-迫害
deteriorate,恶化
reveal,揭露
attempt,尝试
dissolve,溶解
fairy tale,童话
folk tale,民间故事
genre,文体
characterize,个性化
pass down,传递-传承
generation,代
communal ,公共的
reflect,反射-反映
trait,特性-特点
aspect,方面
adapt,适应
plot,情节
constant,保持不变的
modify,修改
creature,生物
version,版本
evolution,进化
identify,鉴定
intend,打算
career fair,招聘会
senior,大四学生
degree,学位
encourage,鼓励
assume,假设
poster,海报
flyer,传单
recommend,推荐
opportunity,机会
recruit,招聘
several ,几个
representative,代表
major,主要的+专业
declare,宣称
interview,采访
particular,特别的
prepare,准备
term paper,论文
come up with,想出
course description,课程描述
dialect,方言
intrigue,引起-欺骗
scope,范围
chapter,篇章
involve,包含
accommodation,适应
topic,话题
depend on,取决于
combination,结合
proposal,提议
economy,经济
expand,扩张
rapidly,快速地
expansion,扩大
hysterical,歇斯底里的
irrational,不理智的
intensify,加强
industry,产业-工业
remote,遥远的
region,地区
merchant,商人
exotic,有毒的
valuable,有价值的
prosperous,繁荣的
commodity,商品
explode,探索
demand,要求
supply,提供
particular,特别的
guarantee,保证
delivery,运输
profit,利润
trade,交易
obtain,获得
collapse,倒塌
species,物种
rare,珍贵的
oak,橡树
remain,保留
hidden,隐藏的
existence,存在
rainforest,雨林
mountain range,山脊
represent,代表
fossil,化石
remarkable,卓越的
resemblance,相似
cluster,簇
reproduce,繁殖
dispersal,分散的
disperse,分散
colonize,入侵
germinate,发芽
expire,失效
limitation,限制
produce,产生
explanation,解释
persist,坚持
indication,表明
decline,下降
stable,稳定的
remnant,残余
character,人物-角色
sketch,展开
obvious,明显的
personality,个性
fictional,科幻的
consciously,有意识地
blend,混合
trait,特性
attribute,属性
fiction,小说
imagination,想象
influence,影响
situation,情况
formulate,形成
dominant,主导的
solidify,固化
consistent,一致的
predictable,可预测的
charge,收费-充电
define,下定义
portray,肖像画
detail,细节
reaction,反应
steretype,固定形态
terminology,术语
opposite,反面的
serve as,作为
tend to,倾向于
introduce,介绍
defeat,打败
humiliate,羞辱
purpose,目的
drastic,激烈的
climate change,气候变化
occurrence,发生
take place,发生
tropical ,热带的
paradise,天堂
indicate,表明
evidence,证据
aquifer,蓄水层
filter,过滤
pollen,花粉
shrub,灌木丛
fossilized,化石的
elephant,大象
giraffe,长劲鹿
variation,变化
monsoon,季风
migration,迁移
seasonal,季节的
rainfall,降雨
migrate,迁移
dynamics,动力
motion,运动
angle,角度
abrupt,突然的
climate shift,气候转变
compound,化合物
decrease,下降
vegetation,植被
moisture,湿度
evaporate,蒸发
retain,保留
valley,山谷
connection,连接
flourish,繁荣
hypothesize,假设
temporary,暂时的
drought,干旱
impetus,动力
essay,散文+随笔
draft,汇票+草稿+起草+制定
graduate,授予学位-毕业+毕业生+毕业了的
dean,学院院长-系主任
Anthropology,人类学
department,部门-部+系
bulletin board,公告板
offer,提供-给予
thoughtful,沉思的+体贴的+
couple,对-双
administrative,管理的-行政的
assistant,助手-助理+
compile,编译+编制+编辑
database,数据库-资料库
article,文章
faculty,全体教职员+科-系
publish,出版-发行+发表
hesitate,犹豫-踌躇
field research,实地调查
versatile,多用途的+多才多艺的+
influential,有影响的+有影响力的人物
biology,生物学+生物
speciation,物种形成
species,物种+种类
isolate,使隔离-使孤立+隔离的-分离的 
distinct,明显的-清楚的+卓越的
linguistic,语言的-语言学的
project,放映+计划
theater,剧场+戏剧
realism,（文艺的）现实主义
drama,戏剧-剧本
pattern,模式+花样+以图案装饰
comedy,喜剧+喜剧性
playwright,剧作家
plot ,情节+为（文学作品）设计情节
scene,场面-现场
play,比赛+游戏+戏剧+玩+演奏
playwriting,剧本创作
biology,生物学+生物
acoustical,听觉的-声学的
spectrum,光谱+波谱+范围+系列
ultrasound,超声+超声波
echo,回声-共鸣+被重复+产生回响
navigation,航行
predator,食肉动物-捕食者
prey,被捕食的动物+捕食
emit,发出+发射
distinguish,区分-辨别-分清
radar ,雷达
student orientation,新生入学介绍会
major,主修科目+主要的
section,部分+节+部件+部门
concentrate ,专心于+注意+集中
research,研究+从事…的研究
transfer student,转学生
loan,借+贷款+借款
